slot_id,x1,y1,x2,y2,x3,y3,x4,y4
slot_0,47,50,96,50,95,75,45,75
slot_1,96,50,146,51,145,76,95,75
slot_2,45,75,95,75,94,101,44,100
slot_3,95,75,145,76,144,101,94,101
slot_4,44,100,94,101,93,126,42,126
slot_5,94,101,144,101,143,127,93,126
slot_6,42,126,93,126,91,152,41,151
slot_7,93,126,143,127,142,152,91,152
slot_8,41,151,91,152,90,177,40,177
slot_9,91,152,142,152,141,178,90,177
slot_10,40,177,90,177,89,203,38,202
slot_11,90,177,141,178,140,203,89,203
slot_12,38,202,89,203,88,228,37,228
slot_13,89,203,140,203,139,229,88,228
slot_14,37,228,88,228,87,254,36,253
slot_15,88,228,139,229,138,254,87,254
slot_16,36,253,87,254,86,279,34,279
slot_17,87,254,138,254,137,280,86,279
slot_18,34,279,86,279,85,305,33,304
slot_19,86,279,137,280,136,305,85,305
slot_20,33,304,85,305,83,330,32,330
slot_21,85,305,136,305,135,331,83,330
slot_22,32,330,83,330,82,356,30,355
slot_23,83,330,135,331,134,356,82,356
slot_24,30,355,82,356,81,381,29,381
slot_25,82,356,134,356,133,382,81,381
slot_26,29,381,81,381,80,407,28,406
slot_27,81,381,133,382,132,407,80,407
slot_28,28,406,80,407,79,432,26,432
slot_29,80,407,132,407,131,433,79,432
slot_30,26,432,79,432,78,458,25,457
slot_31,79,432,131,433,130,458,78,458
slot_32,25,457,78,458,77,483,24,483
slot_33,78,458,130,458,130,484,77,483
slot_34,197,49,245,49,244,75,196,74
slot_35,245,49,293,50,292,75,244,75
slot_36,196,74,244,75,243,100,195,100
slot_37,244,75,292,75,292,101,243,100
slot_38,195,100,243,100,243,126,194,125
slot_39,243,100,292,101,291,126,243,126
slot_40,194,125,243,126,242,151,193,151
slot_41,243,126,291,126,291,152,242,151
slot_42,193,151,242,151,241,177,192,176
slot_43,242,151,291,152,290,177,241,177
slot_44,192,176,241,177,241,202,192,202
slot_45,241,177,290,177,290,203,241,202
slot_46,192,202,241,202,240,228,191,227
slot_47,241,202,290,203,289,228,240,228
slot_48,191,227,240,228,239,253,190,253
slot_49,240,228,289,228,289,254,239,253
slot_50,190,253,239,253,239,279,189,278
slot_51,239,253,289,254,288,279,239,279
slot_52,189,278,239,279,238,304,188,304
slot_53,239,279,288,279,288,305,238,304
slot_54,188,304,238,304,237,330,187,329
slot_55,238,304,288,305,287,330,237,330
slot_56,187,329,237,330,237,355,187,355
slot_57,237,330,287,330,287,356,237,355
slot_58,187,355,237,355,236,381,186,380
slot_59,237,355,287,356,286,381,236,381
